customer_id,month,txn_amount_sum,txn_count,avg_txn_value
1,2025-01-01,1338.75,1,1338.75
1,2025-03-01,3924.79,1,3924.79
1,2025-05-01,491.06,1,491.06
2,2024-10-01,4471.74,1,4471.74
2,2024-12-01,2073.17,1,2073.17
2,2025-06-01,3326.83,1,3326.83
3,2024-10-01,4783.77,1,4783.77
3,2024-12-01,3329.71,2,1664.855
3,2025-06-01,1027.16,1,1027.16
3,2025-07-01,1354.46,1,1354.46
4,2025-04-01,5518.33,2,2759.165
4,2025-07-01,176.37,1,176.37
4,2025-08-01,739.28,1,739.28
5,2024-10-01,4580.32,2,2290.16
5,2025-03-01,1426.86,1,1426.86
5,2025-07-01,2377.51,1,2377.51
6,2024-11-01,4693.62,1,4693.62
6,2025-01-01,2319.57,1,2319.57
6,2025-04-01,1132.41,1,1132.41
6,2025-08-01,2035.02,1,2035.02
6,2025-09-01,1310.88,1,1310.88
7,2025-04-01,2401.25,1,2401.25
7,2025-05-01,1784.49,1,1784.49
7,2025-06-01,869.72,1,869.72
7,2025-08-01,2655.43,1,2655.43
8,2024-12-01,1138.95,1,1138.95
8,2025-03-01,314.63,1,314.63
8,2025-06-01,2880.5099999999998,2,1440.2549999999999
8,2025-09-01,3917.92,2,1958.96
9,2024-12-01,1078.82,1,1078.82
9,2025-01-01,5637.26,2,2818.63
9,2025-02-01,4369.48,1,4369.48
9,2025-03-01,2584.46,1,2584.46
10,2025-02-01,1341.81,1,1341.81
11,2024-10-01,4472.99,2,2236.495
11,2024-11-01,3081.2799999999997,2,1540.6399999999999
11,2025-04-01,1639.46,1,1639.46
11,2025-06-01,2980.6,1,2980.6
11,2025-08-01,4555.79,1,4555.79
12,2025-03-01,2551.26,1,2551.26
12,2025-06-01,1469.59,1,1469.59
12,2025-08-01,915.85,1,915.85
13,2025-01-01,5170.59,2,2585.295
13,2025-07-01,2909.96,1,2909.96
14,2024-10-01,1533.08,1,1533.08
14,2024-12-01,2034.41,1,2034.41
14,2025-02-01,3968.52,1,3968.52
14,2025-03-01,3487.37,1,3487.37
14,2025-05-01,3927.22,1,3927.22
14,2025-06-01,4846.28,2,2423.14
15,2025-03-01,6040.99,2,3020.495
15,2025-05-01,915.4,1,915.4
15,2025-06-01,8049.96,3,2683.32
15,2025-07-01,4366.66,1,4366.66
16,2025-06-01,2098.56,2,1049.28
17,2024-10-01,2356.85,1,2356.85
17,2025-03-01,3372.95,1,3372.95
17,2025-04-01,2193.41,1,2193.41
17,2025-06-01,928.11,1,928.11
17,2025-08-01,433.14,1,433.14
18,2024-12-01,1844.45,1,1844.45
18,2025-04-01,3033.5,1,3033.5
18,2025-06-01,307.81,1,307.81
19,2024-10-01,3257.36,1,3257.36
19,2024-11-01,2577.87,1,2577.87
19,2025-02-01,1597.09,1,1597.09
20,2025-08-01,288.99,1,288.99
21,2024-11-01,1914.8,1,1914.8
21,2025-02-01,3143.19,1,3143.19
21,2025-07-01,3254.17,1,3254.17
22,2024-10-01,1721.31,1,1721.31
22,2025-03-01,2480.71,1,2480.71
22,2025-05-01,1388.83,1,1388.83
22,2025-07-01,4628.79,1,4628.79
23,2024-11-01,9396.57,2,4698.285
23,2025-04-01,3236.67,1,3236.67
23,2025-06-01,4587.9,1,4587.9
24,2024-09-01,4086.02,1,4086.02
24,2024-11-01,8962.97,2,4481.485
24,2025-01-01,4505.13,1,4505.13
24,2025-04-01,3766.33,1,3766.33
25,2024-10-01,6559.3099999999995,2,3279.6549999999997
25,2024-11-01,6679.219999999999,2,3339.6099999999997
25,2024-12-01,3153.89,1,3153.89
25,2025-06-01,2381.75,1,2381.75
25,2025-07-01,4837.54,1,4837.54
26,2025-04-01,1521.05,1,1521.05
26,2025-05-01,84.46,1,84.46
26,2025-08-01,3513.68,1,3513.68
27,2024-10-01,6551.23,2,3275.615
27,2024-11-01,1274.57,1,1274.57
27,2024-12-01,4330.63,1,4330.63
27,2025-01-01,3315.8,1,3315.8
