txn_id,customer_id,txn_date,txn_amount,txn_type,channel
1,43,2025-02-26 22:17:04.824382,1576.97,withdrawal,branch
2,775,2025-01-05 22:17:04.824401,3512.77,withdrawal,branch
3,709,2025-09-13 22:17:04.824407,2365.11,payment,branch
4,992,2025-08-12 22:17:04.824409,238.51,payment,atm
5,176,2024-10-18 22:17:04.824412,4000.84,deposit,atm
6,912,2025-03-07 22:17:04.824414,4133.68,withdrawal,atm
7,23,2025-05-26 22:17:04.824416,1622.64,withdrawal,atm
8,488,2024-09-24 22:17:04.824418,3798.03,deposit,app
9,643,2025-04-30 22:17:04.824420,922.96,withdrawal,app
10,524,2025-05-21 22:17:04.824422,4054.32,withdrawal,app
11,992,2025-06-08 22:17:04.824424,4334.25,deposit,atm
12,387,2025-07-22 22:17:04.824426,2601.58,deposit,atm
13,785,2025-01-26 22:17:04.824428,4202.09,deposit,atm
14,981,2025-03-26 22:17:04.824430,1790.3,withdrawal,branch
15,4,2025-02-08 22:17:04.824431,2487.78,withdrawal,atm
16,375,2025-03-21 22:17:04.824433,70.04,withdrawal,branch
17,971,2025-06-18 22:17:04.824435,614.76,withdrawal,branch
18,508,2024-12-13 22:17:04.824437,2186.25,deposit,branch
19,720,2025-08-28 22:17:04.824447,710.15,deposit,atm
20,157,2025-09-14 22:17:04.824448,2179.06,withdrawal,app
21,950,2025-01-12 22:17:04.824450,2836.95,deposit,atm
22,405,2024-09-23 22:17:04.824452,4254.5,deposit,app
23,319,2025-07-06 22:17:04.824454,1634.26,withdrawal,branch
24,440,2025-09-12 22:17:04.824455,1902.69,withdrawal,atm
25,326,2025-07-04 22:17:04.824457,694.9,payment,app
26,233,2025-03-27 22:17:04.824459,1205.94,deposit,atm
27,367,2025-03-16 22:17:04.824460,577.72,withdrawal,app
28,722,2025-05-09 22:17:04.824462,2567.41,deposit,app
29,855,2024-11-18 22:17:04.824464,3148.13,payment,atm
30,38,2024-12-20 22:17:04.824465,733.66,withdrawal,atm
31,829,2025-06-06 22:17:04.824467,4316.86,deposit,atm
32,373,2024-12-08 22:17:04.824469,3283.25,deposit,atm
33,368,2025-01-19 22:17:04.824470,3319.99,withdrawal,app
34,656,2024-12-20 22:17:04.824472,3151.39,deposit,atm
35,863,2025-02-17 22:17:04.824474,3626.38,payment,atm
36,712,2025-08-30 22:17:04.824475,3616.84,deposit,atm
37,113,2025-07-11 22:17:04.824477,3187.35,deposit,branch
38,882,2025-02-02 22:17:04.824479,1738.27,withdrawal,branch
39,775,2025-04-02 22:17:04.824480,2695.04,deposit,branch
40,52,2024-10-18 22:17:04.824482,129.24,payment,app
41,121,2024-10-31 22:17:04.824484,1923.29,payment,atm
42,389,2025-04-06 22:17:04.824485,3126.52,withdrawal,app
43,768,2025-07-09 22:17:04.824487,3154.17,withdrawal,branch
44,103,2025-09-15 22:17:04.824489,3044.16,deposit,atm
45,868,2025-08-18 22:17:04.824490,2843.56,withdrawal,branch
46,688,2025-02-25 22:17:04.824492,3213.27,payment,app
